COD,Unnamed: 1,ÁREA,C.C,DATA,HORA
2271,,Central Cast (tvca),8114,09/07/25,0 days 18:53:00.004000
2287,,Jorn Bom Dia (tvca),8115,09/07/25,0 days 19:00:00.003000
1980,,Edição de Imagem (tvca),8115,09/07/25,0 days 19:00:59.999000
1769,,Jorn Bom Dia (tvca),8115,09/07/25,0 days 19:03:00
2242,,Reportagem (tvca),8115,09/07/25,0 days 19:03:00
2070,,Jorn 2ª Edição (tvca),8115,09/07/25,0 days 19:05:00.001000
2077,,Edição de Imagem (tvca),8115,09/07/25,0 days 19:05:00.001000
2255,,Central Cast (tvca),8114,09/07/25,0 days 19:07:00.002000
1805,,Cinegrafia (tvca),8115,09/07/25,0 days 19:09:00.003000
2281,,Produção (tvca),8115,09/07/25,0 days 19:18:59.999000
1734,,Central Cast (tvca),8114,09/07/25,0 days 19:27:00.003000
71,,Chefia Reportagem (ptal mt),6515,09/07/25,0 days 19:32:00.001000
144,,Produção (ptal mt),6515,09/07/25,0 days 19:38:00.004000
2284,,Central Cast (tvca),8114,10/07/25,0 days 18:31:00.002000
7,,Locução (fmca),6914,10/07/25,0 days 18:38:59.997000
2179,,Manutenção (tvca),8121,10/07/25,0 days 18:40:00.002000
1980,,Edição de Imagem (tvca),8115,10/07/25,0 days 18:45:00
2077,,Edição de Imagem (tvca),8115,10/07/25,0 days 18:51:59.999000
2070,,Jorn 2ª Edição (tvca),8115,10/07/25,0 days 18:53:00.004000
1082,,Programas (tvca),8114,10/07/25,0 days 18:54:00
1575,,Cinegrafia (tvca),8115,10/07/25,0 days 19:02:00.004000
1765,,Cinegrafia (tvca),8115,10/07/25,0 days 19:03:59.996000
1734,,Central Cast (tvca),8114,10/07/25,0 days 19:16:00.002000
154,,Produção (ptal mt),6515,10/07/25,0 days 19:23:00.001000
1765,,Cinegrafia (tvca),8115,11/07/25,0 days 18:24:59.999000
7,,Locução (fmca),6914,11/07/25,0 days 18:33:00.003000
2179,,Manutenção (tvca),8121,11/07/25,0 days 18:42:59.999000
1980,,Edição de Imagem (tvca),8115,11/07/25,0 days 18:47:59.997000
2070,,Jorn 2ª Edição (tvca),8115,11/07/25,0 days 18:49:00.002000
2077,,Edição de Imagem (tvca),8115,11/07/25,0 days 18:49:00.002000
2163,,Edição de Imagem (tvca),8115,11/07/25,0 days 18:49:00.002000
882,,Operações (tvca),8115,11/07/25,0 days 18:49:59.998000
2246,,Produção (tvca),8115,11/07/25,0 days 18:56:00.001000
2262,,Chefia Reportagem (tvca),8115,11/07/25,0 days 18:56:00.001000
1769,,Jorn Bom Dia (tvca),8115,11/07/25,0 days 19:02:00.004000
1497,,Central Cast (tvca),8114,11/07/25,0 days 19:03:00
1575,,Cinegrafia (tvca),8115,11/07/25,0 days 19:12:00
2174,,Artes (tvca),8114,11/07/25,0 days 19:18:00.003000
53,,Gerência Entret. Program. (fmca),6914,11/07/25,0 days 19:18:00.003000
1734,,Central Cast (tvca),8114,11/07/25,0 days 19:29:00.004000
154,,Produção (ptal mt),6515,11/07/25,0 days 19:29:00.004000
2139,,Documetários (tvca),8115,14/07/25,0 days 18:33:00.003000
1765,,Cinegrafia (tvca),8115,14/07/25,0 days 18:33:59.999000
2162,,Artes (tvca),8114,14/07/25,0 days 18:36:59.996000
7,,Locução (fmca),6914,14/07/25,0 days 18:38:00.001000
2179,,Manutenção (tvca),8121,14/07/25,0 days 18:40:00.002000
2271,,Central Cast (tvca),8114,14/07/25,0 days 18:40:00.002000
1565,,Manutenção (tvca),8121,14/07/25,0 days 18:44:00.004000
2163,,Edição de Imagem (tvca),8115,14/07/25,0 days 18:45:00
1072,,Cinegrafia (tvca),8115,14/07/25,0 days 18:47:59.997000
882,,Operações (tvca),8115,14/07/25,0 days 18:49:59.998000
2206,,Edição de Imagem (tvca),8115,14/07/25,0 days 18:51:00.003000
2070,,Jorn 2ª Edição (tvca),8115,14/07/25,0 days 18:51:59.999000
1970,,On line (MT),8515,14/07/25,0 days 18:53:00.004000
151,,Produção (ptal mt),6515,14/07/25,0 days 18:53:00.004000
71,,Chefia Reportagem (ptal mt),6515,14/07/25,0 days 18:54:59.996000
144,,Produção (ptal mt),6515,14/07/25,0 days 18:54:59.996000
1980,,Edição de Imagem (tvca),8115,14/07/25,0 days 18:56:59.997000
2264,,Esporte (tvca),8115,14/07/25,0 days 18:56:59.997000
2255,,Central Cast (tvca),8114,14/07/25,0 days 19:03:59.996000
1769,,Jorn Bom Dia (tvca),8115,14/07/25,0 days 19:05:59.997000
2242,,Reportagem (tvca),8115,14/07/25,0 days 19:05:59.997000
2287,,Jorn Bom Dia (tvca),8115,14/07/25,0 days 19:05:59.997000
1575,,Cinegrafia (tvca),8115,14/07/25,0 days 19:12:59.996000
2174,,Artes (tvca),8114,14/07/25,0 days 19:18:00.003000
1821,,Artes (tvca),8114,14/07/25,0 days 19:20:00.004000
154,,Produção (ptal mt),6515,14/07/25,0 days 19:21:00
1734,,Central Cast (tvca),8114,14/07/25,0 days 19:29:00.004000
2271,,Central Cast (tvca),8114,15/07/25,0 days 18:24:59.999000
7,,Locução (fmca),6914,15/07/25,0 days 18:33:00.003000
1575,,Cinegrafia (tvca),8115,15/07/25,0 days 18:36:00
1765,,Cinegrafia (tvca),8115,15/07/25,0 days 18:36:00
1980,,Edição de Imagem (tvca),8115,15/07/25,0 days 18:40:59.998000
2163,,Edição de Imagem (tvca),8115,15/07/25,0 days 18:40:59.998000
1769,,Jorn Bom Dia (tvca),8115,15/07/25,0 days 18:51:00.003000
2179,,Manutenção (tvca),8121,15/07/25,0 days 18:51:00.003000
2206,,Edição de Imagem (tvca),8115,15/07/25,0 days 18:51:00.003000
2242,,Reportagem (tvca),8115,15/07/25,0 days 18:51:00.003000
2287,,Jorn Bom Dia (tvca),8115,15/07/25,0 days 18:51:00.003000
144,,Produção (ptal mt),6515,15/07/25,0 days 18:58:59.998000
2070,,Jorn 2ª Edição (tvca),8115,15/07/25,0 days 19:02:00.004000
2246,,Produção (tvca),8115,15/07/25,0 days 19:02:00.004000
2255,,Central Cast (tvca),8114,15/07/25,0 days 19:12:59.996000
2174,,Artes (tvca),8114,15/07/25,0 days 19:14:00.001000
154,,Produção (ptal mt),6515,15/07/25,0 days 19:25:59.998000
1734,,Central Cast (tvca),8114,15/07/25,0 days 19:30:00
71,,Chefia Reportagem (ptal mt),6515,15/07/25,0 days 19:32:59.997000
